ticker,date,expected_candles,observed_candles,candle_coverage,valid_intraday_returns,stale_price_share,positive_volume_share,all_prices_positive,configured_market_close,effective_market_close
BBDC4.SA,2026-05-12,83,83,1.0,82,0.15853658536585366,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-13,83,82,0.9879518072289156,81,0.1111111111111111,0.9878048780487805,True,17:55,16:50
BBDC4.SA,2026-05-14,83,83,1.0,82,0.17073170731707318,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-15,83,82,0.9879518072289156,81,0.2345679012345679,1.0,True,17:55,16:50
BBDC4.SA,2026-05-18,83,83,1.0,82,0.23170731707317074,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-19,83,83,1.0,82,0.2073170731707317,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-20,83,82,0.9879518072289156,81,0.19753086419753085,1.0,True,17:55,16:50
BBDC4.SA,2026-05-21,83,83,1.0,82,0.1951219512195122,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-22,83,83,1.0,82,0.25609756097560976,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-25,83,83,1.0,82,0.1951219512195122,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-26,83,83,1.0,82,0.21951219512195122,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-27,83,81,0.9759036144578314,80,0.2125,1.0,True,17:55,16:50
BBDC4.SA,2026-05-28,83,83,1.0,82,0.25609756097560976,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-29,83,82,0.9879518072289156,82,0.1951219512195122,0.9878048780487805,True,17:55,16:50
BBDC4.SA,2026-06-01,83,82,0.9879518072289156,81,0.24691358024691357,1.0,True,17:55,16:50
BBDC4.SA,2026-06-02,83,82,0.9879518072289156,81,0.2222222222222222,1.0,True,17:55,16:50
BBDC4.SA,2026-06-03,83,83,1.0,82,0.21951219512195122,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-06-05,83,82,0.9879518072289156,81,0.2345679012345679,1.0,True,17:55,16:50
BBDC4.SA,2026-06-08,83,82,0.9879518072289156,81,0.20987654320987653,1.0,True,17:55,16:50
BBDC4.SA,2026-06-09,83,83,1.0,82,0.13414634146341464,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-06-10,83,83,1.0,82,0.17073170731707318,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-06-11,83,83,1.0,82,0.17073170731707318,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-06-12,83,83,1.0,82,0.21951219512195122,0.9879518072289156,True,17:55,16:50
BHIA3.SA,2026-03-17,83,83,1.0,82,0.5853658536585366,0.9879518072289156,True,17:55,16:50
BHIA3.SA,2026-03-18,83,83,1.0,82,0.4634146341463415,0.9879518072289156,True,17:55,16:50
BHIA3.SA,2026-03-19,83,83,1.0,82,0.3170731707317073,0.9759036144578314,True,17:55,16:50
